1,Almost Famous,31783000241129,,Almost Famous,Almost Famous
2,Unsung Hero,31783000573034,PG,Unsung Hero,Unsung Hero
3,Autism is a World,31783000306336,,Autism is a World,Autism is a World
4,Aviator (2 discs),31783000303309,,Aviator (2 discs),Aviator (2 discs)
5,Abigail,31783000573042,R,Abigail,Abigail
6,Godzilla x Kong: The New Empire,31783000573059,PG13,Godzilla x Kong: The New Empire,Godzilla x Kong: The New Empire
7,Ben Hur,31783000390900,,Ben Hur,Ben Hur
8,The Bourne Supremacy,31783000292601,,"Bourne Supremacy, The","Bourne Supremacy, The"
9,The Company You Keep,31783000510234,,"Company You Keep, The","Company You Keep, The"
10,The November Man,31783000514350,,"November Man, The","November Man, The"
11,Brother Bear 2,31783000352991,G,Brother Bear 2,Brother Bear 2
12,Caddyshack,31783000278808,,Caddyshack,Caddyshack
13,Camelot,31783000252472,,Camelot,Camelot
14,Capote,31783000398606,,Capote,Capote
15,Challengers,31783000573273,R,Challengers,Challengers
16,High School Musical Remix (2 discs),31783000361851,G,High School Musical Remix (2 discs),High School Musical Remix (2 discs)
17,Cheaper by the Dozen,31783000376784,PG,Cheaper by the Dozen,Cheaper by the Dozen
18,Chicago,31783000256804,,Chicago,Chicago
19,Chicago: City of the Century (4 discs),31783000531099,,Chicago: City of the Century (4 discs),Chicago: City of the Century (4 discs)
20,Ghostbusters: Frozen Empire,31783000573281,PG13,Ghostbusters: Frozen Empire,Ghostbusters: Frozen Empire
21,Children of a Lesser God,31783000468888,,Children of a Lesser God,Children of a Lesser God
22,"Cinderella (2005, Disney Animated) (2 discs)",31783000420913,G,"Cinderella (2005, Disney Animated) (2 discs)","Cinderella (2005, Disney Animated) (2 discs)"
23,Dear Frankie,31783000315006,,Dear Frankie,Dear Frankie
24,Dr. Dolittle,31783000269369,PG13,Dr. Dolittle,Dr. Dolittle
25,Ella Enchanted,31783000393623,PG,Ella Enchanted,Ella Enchanted
26,Young Frankenstein,31783000471478,,Young Frankenstein,Young Frankenstein
27,The Crimson Wing: Mystery of the Flamingos,31783000522155,G,"Crimson Wing: Mystery of the Flamingos, The","Crimson Wing: Mystery of the Flamingos, The"
28,Finding Neverland,31783000487243,PG,Finding Neverland,Finding Neverland
29,42nd Street,31783000276778,,42nd Street,42nd Street
30,Mae West: The Glamour Collection (2 discs),31783000276778,,Mae West: The Glamour Collection (2 discs),Mae West: The Glamour Collection (2 discs)
31,A United Kingdom,31783000514475,,A United Kingdom,A United Kingdom
32,Get a Clue,31783000252340,PG,Get a Clue,Get a Clue
33,The God Who Wasn't There,31783000413587,,"God Who Wasn't There, The","God Who Wasn't There, The"
34,Walk the Line,31783000567788,PG13,Walk the Line,Walk the Line
35,"Good Night, and Good Luck",31783000322929,,"Good Night, and Good Luck","Good Night, and Good Luck"
36,Harry Potter and the Goblet of Fire (2 discs),31783000322697,PG13,Harry Potter and the Goblet of Fire (2 discs),Harry Potter and the Goblet of Fire (2 discs)
37,Harry Potter and the Sorcerer’s Stone (2 discs),31783000273932,PG,Harry Potter and the Sorcerer’s Stone (2 discs),Harry Potter and the Sorcerer’s Stone (2 discs)
38,The Shack,31783000516629,,"Shack, The","Shack, The"
39,A Good Year,31783000385835,,A Good Year,A Good Year
40,The History Channel [10 Days to D-Day],31783000284327,,"History Channel [10 Days to D-Day], The","History Channel [10 Days to D-Day], The"
41,House of Sand and Fog,31783000273072,,House of Sand and Fog,House of Sand and Fog
42,Anne of Green Gables (3 Disks),31783000512495,,Anne of Green Gables (3 Disks),Anne of Green Gables (3 Disks)
43,In America,31783000277941,,In America,In America
44,The Muppets Take Manhattan,31783000414114,G,"Muppets Take Manhattan, The","Muppets Take Manhattan, The"
45,Warbirds: Over the Trenches (2 discs),31783000514830,,Warbirds: Over the Trenches (2 discs),Warbirds: Over the Trenches (2 discs)
46,J F K: A Presidency Revealed (2 discs),31783000269146,,J F K: A Presidency Revealed (2 discs),J F K: A Presidency Revealed (2 discs)
47,A Christmas Carol (1938),31783000425326,,A Christmas Carol (1938),A Christmas Carol (1938)
48,King Kong (2 discs),31783000323273,,King Kong (2 discs),King Kong (2 discs)
49,Fast Charlie,31783000573323,NR,Fast Charlie,Fast Charlie
50,"Beauty and the Beast [2017, Emma Watson]",31783000515332,PG,"Beauty and the Beast [2017, Emma Watson]","Beauty and the Beast [2017, Emma Watson]"
51,The Boys in the Boat,31783000573307,PG13,"Boys in the Boat, The","Boys in the Boat, The"
